Estado ,"pib
",pcelular
Nacional,13401295,71.5
Aguascalientes,163567,74.8
Baja California,382383,84.5
Baja California Sur,97833,87.5
Campeche,610623,73.5
Coahuila,454047,74.5
Colima,79809,77.9
Chiapas,234618,56.6
Chihuahua,382,76.4
Federal District,2254840,79.7
Durango,158956,69.2
Guanajuato,557382,66.2
Guerrero,196501,55.2
Hidalgo,216423,66.9
Jalisco,850237,76.3
Mexico State,1209424,72.9
Michoacán,318308,60.6
Morelos,155936,66.9
Nayarit,87956,73.9
Nuevo León,999407,76.9
Oaxaca,208967,57.4
Puebla,424856,59.3
Querétaro,292723,75.6
Quintana Roo,213.67,81.3
San Luis Potosí,257972,64.0
Sinaloa,276.52,84.3
Sonora,397033,86.3
Tabasco,434948,71.5
Tamaulipas,413971,75.7
Tlaxcala,72689,64.5
Veracruz,675465,74.0
Yucatán,195471,75.4
Zacatecas,126156,61.5
Estado de México,1209424,72.9
EstMexico State,1209424,72.9